Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,value_x10
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,31800.0,"ANZSIC06 groups A011, A012, and A013",318000.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,83.0,"ANZSIC06 groups A011, A012, and A013",830.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,73.0,"ANZSIC06 groups A011, A012, and A013",730.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,8.0,"ANZSIC06 groups A011, A012, and A013",80.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,4.0,"ANZSIC06 groups A011, A012, and A013",40.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,48.0,"ANZSIC06 groups A011, A012, and A013",480.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,6011.0,"ANZSIC06 groups A011, A012, and A013",60110.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,5410.0,"ANZSIC06 groups A011, A012, and A013",54100.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,193.0,"ANZSIC06 groups A011, A012, and A013",1930.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,408.0,"ANZSIC06 groups A011, A012, and A013",4080.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,5270.0,"ANZSIC06 groups A011, A012, and A013",52700.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,337.0,"ANZSIC06 groups A011, A012, and A013",3370.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,43.0,"ANZSIC06 groups A011, A012, and A013",430.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,376.0,"ANZSIC06 groups A011, A012, and A013",3760.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,977.0,"ANZSIC06 groups A011, A012, and A013",9770.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0.0,"ANZSIC06 groups A011, A012, and A013",0.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,3498.0,"ANZSIC06 groups A011, A012, and A013",34980.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,39.0,"ANZSIC06 groups A011, A012, and A013",390.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,395.0,"ANZSIC06 groups A011, A012, and A013",3950.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,438.0,"ANZSIC06 groups A011, A012, and A013",4380.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,784.0,"ANZSIC06 groups A011, A012, and A013",7840.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,21791.0,"ANZSIC06 groups A011, A012, and A013",217910.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,3518.0,"ANZSIC06 groups A011, A012, and A013",35180.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,13836.0,"ANZSIC06 groups A011, A012, and A013",138360.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,4438.0,"ANZSIC06 groups A011, A012, and A013",44380.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,21791.0,"ANZSIC06 groups A011, A012, and A013",217910.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,10361.0,"ANZSIC06 groups A011, A012, and A013",103610.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,4237.0,"ANZSIC06 groups A011, A012, and A013",42370.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,7193.0,"ANZSIC06 groups A011, A012, and A013",71930.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,243600.0,"ANZSIC06 groups A011, A012, and A013",2436000.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,31800.0,"ANZSIC06 groups A011, A012, and A013",318000.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,83.0,"ANZSIC06 groups A011, A012, and A013",830.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,73.0,"ANZSIC06 groups A011, A012, and A013",730.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,8.0,"ANZSIC06 groups A011, A012, and A013",80.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,4.0,"ANZSIC06 groups A011, A012, and A013",40.0
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,48.0,"ANZSIC06 groups A011, A012, and A013",480.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income,Financial performance,13284.0,ANZSIC06 groups A014 and A015,132840.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,12381.0,ANZSIC06 groups A014 and A015,123810.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,222.0,ANZSIC06 groups A014 and A015,2220.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income,Financial performance,680.0,ANZSIC06 groups A014 and A015,6800.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure,Financial performance,11627.0,ANZSIC06 groups A014 and A015,116270.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations,Financial performance,910.0,ANZSIC06 groups A014 and A015,9100.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes,Financial performance,204.0,ANZSIC06 groups A014 and A015,2040.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation,Financial performance,616.0,ANZSIC06 groups A014 and A015,6160.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid,Financial performance,1210.0,ANZSIC06 groups A014 and A015,12100.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance,Financial performance,0.0,ANZSIC06 groups A014 and A015,0.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,8599.0,ANZSIC06 groups A014 and A015,85990.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses,Financial performance,89.0,ANZSIC06 groups A014 and A015,890.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks,Financial performance,6309.0,ANZSIC06 groups A014 and A015,63090.0
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks,Financial performance,6465.0,ANZSIC06 groups A014 and A015,64650.0
